Semana.,Estado,Municipio,Posible causa,Tipo vegetación,Área natural protegida,Clasificación primer orden,Superficie,Total días / persona,Tipo de atención,Latitud,Longitud
48,Chiapas,Jiquipilas,Actividades pecuarias,Bosque de Pino,La Sepultura,Impacto Mínimo,45.961,27,Combate,16.393305,-93.88419
25,Chiapas,Cintalapa,Actividades pecuarias,Bosque de Pino,La Sepultura,Impacto Mínimo,15.0648,12,Combate,16.447895,-93.958115
22,Chiapas,Ocozocoautla de espinosa,Actividades pecuarias,Selva Baja Caducifolia,Selva El Ocote,Impacto Moderado,221.848,53,Combate,16.852745,-93.46349
22,Chiapas,Ixtapa,Desconocidas,Bosque de Pino-Encino,,Impacto Mínimo,15.1333,31,Combate,16.76932,-92.895615
21,Chiapas,Ángel albino corzo,Intencional,Bosque de Pino-Encino,,Impacto MÍnImo,96.1524,73,Combate,15.859236,-92.64828
21,Chiapas,Villa corzo,Desconocidas,Selva Baja Caducifolia,,Impacto MÍnImo,93.6378,47,Combate,16.237345,-93.14076
21,Chiapas,Villaflores,Desconocidas,Bosque de Encino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto MÍnImo,84.9356,32,Combate,16.22127,-93.45628
21,Chiapas,Tuxtla gutiérrez,Intencional,Selva Baja Caducifolia,Cañón del Sumidero,Impacto MÍnImo,6.2595,10,Combate,16.770706,-93.05885
21,Chiapas,Villa corzo,Desconocidas,Bosque de Pino-Encino,,Impacto Mínimo,580.5888,65,Combate,16.185633,-93.184845
21,Chiapas,Villa corzo,Desconocidas,Bosque de Encino-Pino,,Impacto Mínimo,575.8629,33,Combate,16.200216,-93.11972
21,Chiapas,Cintalapa,Actividades pecuarias,Bosque de Pino,La Sepultura,Impacto MÍnImo,56.9364,18,Combate,16.435944,-93.95074
21,Chiapas,Villaflores,Actividades agrícolas,Bosque de Encino-Pino,La Sepultura,Impacto Moderado,566.5785,69,Combate,16.371181,-93.54573
21,Chiapas,Cintalapa,Actividades pecuarias,Bosque de Pino-Encino,La Sepultura,Impacto MÍnImo,50.4802,12,Combate,16.393383,-93.98552
21,Chiapas,Villa corzo,Desconocidas,Bosque de Encino-Pino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto MÍnImo,46.3806,66,Combate,16.01065,-93.421745
21,Chiapas,Villa corzo,Desconocidas,Bosque de Encino-Pino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto MÍnImo,457.9913,24,Combate,15.979527,-93.10336
21,Chiapas,La concordia,Cazadores,Selva Baja Caducifolia,,Impacto Moderado,44.2007,56,Combate,16.080862,-92.72139
21,Chiapas,Ocozocoautla de espinosa,Desconocidas,Selva Alta Perennifolia,Selva El Ocote,Impacto Severo,4.396,32,Combate,16.920006,-93.48927
21,Chiapas,Villa corzo,Desconocidas,Selva Alta Perennifolia,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Moderado,434.383,98,Combate,15.99605,-93.367836
21,Chiapas,Cintalapa,Actividades pecuarias,Bosque de Pino-Encino,La Sepultura,Impacto Moderado,325.0874,53,Combate,16.461164,-93.8989
21,Chiapas,Villaflores,Actividades agrícolas,Bosque de Encino,La Sepultura,Impacto MÍnImo,28.729,42,Combate,16.235416,-93.603134
21,Chiapas,Villa corzo,Desconocidas,Bosque de Encino-Pino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto MÍnImo,27.2858,12,Combate,16.053673,-93.399414
21,Chiapas,Jiquipilas,Desconocidas,Bosque de Encino-Pino,,Impacto MÍnImo,255.8167,36,Combate,16.461702,-93.56488
21,Chiapas,Jiquipilas,Actividades Pecuarias,Selva Mediana Subperennifolia,La Sepultura,Impacto MÍnImo,24.8375,12,Combate,16.340164,-93.777084
21,Chiapas,La concordia,Cazadores,Bosque de Encino-Pino,La Concordia Zaragoza,Impacto Moderado,192.529,112,Combate,16.003208,-92.6616
21,Chiapas,Ocozocoautla de espinosa,Actividades agrícolas,Selva Mediana Perennifolia,Selva El Ocote,Impacto Severo,1.7616,19,Combate,16.926294,-93.51801
21,Chiapas,La concordia,Intencional,Bosque de Encino-Pino,El Triunfo,Impacto Severo,172.2118,128,Combate,15.85455,-93.06518
21,Chiapas,La concordia,Naturales,Bosque de Pino-Encino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Moderado,1675.1982,332,Combate,15.905992,-92.99039
21,Chiapas,Villaflores,Desconocidas,Bosque de Encino-Pino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto MÍnImo,1518.6898,53,Combate,16.23872,-93.38472
21,Chiapas,Ocozocoautla de espinosa,Actividades agrícolas,Selva Mediana Perennifolia,Selva El Ocote,Impacto Severo,14.2986,132,Combate,16.888136,-93.546715
21,Chiapas,Villaflores,Desconocidas,Bosque de Pino-Encino,,Impacto MÍnImo,127.9727,20,Combate,16.371885,-93.5729
21,Chiapas,Ocozocoautla de espinosa,Actividades agrícolas,Selva Mediana Subperennifolia,Selva El Ocote,Impacto Moderado,1.1385,20,Combate,16.922987,-93.50063
20,Chiapas,Ixtapa,Desconocidas,Bosque de Encino,,Impacto MÍnImo,92.8659,22,Combate,16.867992,-92.85409
20,Chiapas,Cintalapa,Actividades agrícolas,Bosque de Encino,,Impacto Moderado,91.967,60,Combate,16.861973,-93.874374
20,Chiapas,Villaflores,Desconocidas,Bosque de Encino-Pino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto MÍnImo,845.3795,92,Combate,16.203186,-93.43392
20,Chiapas,Villa comaltitlán,Cazadores,Tular,La Encrucijada,Impacto Moderado,81.2029,22,Combate,15.114997,-92.725136
20,Chiapas,Montecristo de guerrero,Desconocidas,Bosque de Pino-Encino,,Impacto Mínimo,8.053,18,Combate,15.689533,-92.62109
20,Chiapas,Villa corzo,Desconocidas,Bosque de Encino-Pino,"Z.P.F. en los terrenos que se encuentran en los mpios. de La Concordia, Ángel Albino Corzo, Villa Flores y Jiquipilas",Impacto Moderado,761.2254,97,Combate,16.075762,-93.34224
